CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
BT-549,AKT,ADAM17,1,75,0.184407667,1.7375109,59.57523324,1,0,100,7.39824,1,ADAM17.AKT
CAL-148,AKT,ADAM17,1,75,0.153391224,1.7541229,1.10077945,1,0,100,12.68634,1,ADAM17.AKT
HCC38,AKT,ADAM17,1,75,1,10,64.40008038,1,0,100,-4.35159,1,ADAM17.AKT
BT-20,BCL2_BCL2L1,ADAM17,1,75,1,1.1617315,39.16458718,75,0.9657921,70.9150332,-1.297886,1,ADAM17.BCL2_BCL2L1
HCC1143,BCL2_BCL2L1,ADAM17,1,75,0.115309253,10,57.19879477,0.0075,0.1,80.12808895,3.369319,1,ADAM17.BCL2_BCL2L1
HCC1937,BCL2_BCL2L1,ADAM17,1,75,1,0.6800246,44.77685179,1.460265179,0.8454861,93.47342327,18.31771,1,ADAM17.BCL2_BCL2L1
Hs-578-T,BCL2_BCL2L1,ADAM17,1,75,0.11382074,1.8395583,62.84448784,1.188576126,0.2080817,78.96791015,-36.83033,1,ADAM17.BCL2_BCL2L1
DU-4475,FGFR,ADAM17,1,75,0.100523783,0.7482343,82.59319334,21.93696412,2.163361,34.61597091,-14.39873,1,ADAM17.FGFR
HCC1187,FGFR,ADAM17,1,75,1,0,100,1,0,100,-6.400371,1,ADAM17.FGFR
HCC70,FGFR,ADAM17,1,75,1,0,100,1,0,100,-14.909,1,ADAM17.FGFR
Hs-578-T,FGFR,ADAM17,1,75,1,0.4548841,60.47842332,0.010179286,8.2272521,86.59999985,-7.859544,1,ADAM17.FGFR
CAL-51,MAP2K_1,ADAM17,1,75,0.264716052,10,91.89911761,1,0,100,-6.322157,1,ADAM17.MAP2K_1
HCC1428,MAP2K_1,ADAM17,1,75,1,0,100,1,0,100,-9.439825,1,ADAM17.MAP2K_1
MDA-MB-157,MAP2K_1,ADAM17,1,75,0.389676638,0.3937379,27.51152358,75,0.1851383,75.60883736,15.84889,1,ADAM17.MAP2K_1
BT-549,MTOR_1,ADAM17,1,75,0.282911482,1.6142752,26.67216631,1,0,100,-9.722151,1,ADAM17.MTOR_1
MDA-MB-157,MTOR_1,ADAM17,1,75,0.178030361,2.3292531,56.43730479,1,0,100,41.926,1,ADAM17.MTOR_1
MFM-223,MTOR_1,ADAM17,1,75,0.254187583,3.3504237,30.90453052,75,10,85.60010841,6.913281,1,ADAM17.MTOR_1
BT-549,PIK3C,ADAM17,1,75,0.314090994,4.1591177,39.21220663,1,0,100,-22.83696,1,ADAM17.PIK3C
DU-4475,PIK3C,ADAM17,1,75,0.220608746,1.1662957,0,14.92559164,1.490348,43.11250794,54.88385,1,ADAM17.PIK3C
HCC1187,PIK3C,ADAM17,1,75,0.214017711,2.7505887,25.35019606,1,0,100,3.520869,1,ADAM17.PIK3C
HCC38,PIK3C,ADAM17,1,75,0.308286749,10,77.09977338,1,0,100,-0.780308,1,ADAM17.PIK3C
BT-549,PIK3CB_PIK3CD,ADAM17,1,75,0.566041301,0.4499586,0,0.0075,0.1,93.2391889,3.480756,1,ADAM17.PIK3CB_PIK3CD
CAL-120,PIK3CB_PIK3CD,ADAM17,1,75,0.15269867,3.6810956,67.93705883,1,0,100,8.763481,1,ADAM17.PIK3CB_PIK3CD
CAL-51,PIK3CB_PIK3CD,ADAM17,1,75,1,0.6924887,71.96545468,23.61371697,10,92.79991074,8.352364,1,ADAM17.PIK3CB_PIK3CD
MDA-MB-436,PIK3CB_PIK3CD,ADAM17,1,75,0.286174654,1.0945051,63.13176947,1,0,100,3.653325,1,ADAM17.PIK3CB_PIK3CD
VCaP,AKT,ADAM17,1,10,0.662229319,1.024604,0,3.109985926,1.2137953,72.75883944,43.54851,1,ADAM17.AKT
T47D,AKT_1,AKT,1,1,0.025096451,1.8278286,47.5203891,0.110554203,10,41.84885791,-2.04992,1,AKT.AKT_1
A549,CSNK2A1_2,AKT,0.1,3,0.016795032,5.0493749,7.60004,3,0.5882204,74.69708706,21.83977,1,AKT.CSNK2A1_2
NCI-H2291,CSNK2A1_2,AKT,0.01,3,0.002230086,1.0109184,11.73690642,1.344380406,1.3443365,78.075191,8.86138,1,AKT.CSNK2A1_2
NCI-H358,CSNK2A1_2,AKT,0.1,3,0.010716611,3.4000623,15.91295771,2.130671247,0.7996328,0,46.89053,1,AKT.CSNK2A1_2
SW900,CSNK2A1_2,AKT,0.01,3,0.003485553,1.8212082,22.71041009,1.179607119,0.3433128,0,23.98625,1,AKT.CSNK2A1_2
T47D,Chloroquine,AKT,1,1,1,0.5034796,88.38008498,0.117926103,1.9448219,34.00890984,10.65468,1,AKT.Chloroquine
BFTC-905,FGFR,AKT,3,3,3,0.985901,15.6214829,0.085655436,1.1559938,27.52012385,-101.1725,1,AKT.FGFR
J82,FGFR,AKT,3,3,0.065391144,1.1226817,62.26301982,0.951072919,1.0642443,26.73400978,43.28107,1,AKT.FGFR
VCaP,FGFR,AKT,3,1,3,2.8467294,63.20385038,0.312448777,2.3977882,64.75143342,-7.65672,1,AKT.FGFR
CAMA-1,HDAC_4,AKT,1,1,0.410802027,10,58.89437436,0.218827383,1.3497632,28.13595238,-30.19233,1,AKT.HDAC_4
MDA-MB-361,HDAC_4,AKT,1,1,0.329827395,10,35.19899628,0.241296881,3.9159513,40.37546581,-15.37092,1,AKT.HDAC_4
UM-UC-3,HDAC_4,AKT,3,3,1.12381411,10,28.79612436,1.174631178,10,85.59878043,3.11513,1,AKT.HDAC_4
CAL-120,PIK3CA_4,AKT,1,1,1,10,77.40002127,1,0.8800457,17.37043545,15.90209,1,AKT.PIK3CA_4
CAL-51,PIK3CA_4,AKT,1,1,1,0.6986249,32.97368748,0.208638081,1.2183631,34.74900434,-4.659295,1,AKT.PIK3CA_4
HCC1428,PIK3CA_4,AKT,1,1,1,0,100,1,0,100,-6.982336,1,AKT.PIK3CA_4
HCC38,PIK3CA_4,AKT,1,1,1.00E-04,0.1,88.68310767,1,0.489543,75.32176044,-38.90653,1,AKT.PIK3CA_4
CAL-148,PIK3C_2,AKT,1,1,1,10,52.40001178,0.142786506,1.3518775,0,0.7499019,1,AKT.PIK3C_2
CAL-51,PIK3C_2,AKT,1,1,0.581301853,1.5217903,0,0.853253418,0.6711482,0,4.678623,1,AKT.PIK3C_2
HCC1187,PIK3C_2,AKT,1,1,0.388384768,1.5733564,15.05106052,0.237529674,2.0079884,57.01041679,7.401312,1,AKT.PIK3C_2
MDA-MB-453,PIK3C_2,AKT,1,1,0.397268771,2.1189118,0,0.208529199,1.459807,19.04960187,7.232721,1,AKT.PIK3C_2
647-V,TNF,AKT,0.1,3,1,0,100,0.644962969,1.3851476,0,10.83863,1,AKT.TNF
UM-UC-3,TNF,AKT,0.03,3,0.001552593,0.3995503,39.4393991,1.118588186,10,81.69904698,52.74759,1,AKT.TNF
CAL-120,AKT_1,AKT,1,1,0.03459917,0.7021456,86.97430966,0.205462749,0.5997523,30.82795025,3.684652,1,AKT.AKT_1
CAL-148,AKT_1,AKT,1,1,0.293333808,1.0679445,0,0.132053678,1.0728938,0,3.875171,1,AKT.AKT_1
HCC38,AKT_1,AKT,1,1,0.037113822,10,90.59986225,1,10,79.80020331,-26.97995,1,AKT.AKT_1
MDA-MB-468,AKT_1,AKT,1,1,0.498104851,1.3891923,39.37850564,0.318389547,1.2838919,19.61961759,-8.220864,1,AKT.AKT_1
BT-20,PIK3C,AKT_1,1,1,0.32337057,1.1071206,34.43183296,0.182132418,0.8560683,65.68364506,32.94524,1,AKT_1.PIK3C
CAL-51,PIK3C,AKT_1,1,1,0.839256561,0.7395531,0,1,0.713769,28.9141716,27.7552,1,AKT_1.PIK3C
M14,PIK3C,AKT_1,1,1,0.319258854,10,49.8993566,1,0,100,21.04548,1,AKT_1.PIK3C
