"CELL_LINE","COMPOUND_A","COMPOUND_B","MAX_CONC_A","MAX_CONC_B","IC50_A","H_A","Einf_A","IC50_B","H_B","Einf_B","SYNERGY_SCORE","QA","COMBINATION_ID"
"BT-20","ADAM17","AKT_1",1,75,1,0.5742835,38.24069761,75,0.4501682,62.4802503,24.82609,1,"ADAM17.AKT_1"
"BT-549","ADAM17","AKT_1",1,75,0.171406976,1.1006454,54.32720044,1,0,100,10.74943,1,"ADAM17.AKT_1"
"CAL-120","ADAM17","AKT_1",1,75,1,0,100,1,0,100,10.42914,1,"ADAM17.AKT_1"
"CAL-148","ADAM17","AKT_1",1,75,0.208764412,1.5002647,15.52634264,1,0,100,-1.041368,1,"ADAM17.AKT_1"
"CAL-51","ADAM17","AKT_1",1,75,1,1.2051391,56.71039185,75,0.5260779,78.67624676,5.830641,1,"ADAM17.AKT_1"
"CAMA-1","ADAM17","AKT_1",1,75,0.554484796,1.358204,4.94405738,1,0,100,7.988535,1,"ADAM17.AKT_1"
"DU-4475","ADAM17","AKT_1",1,75,0.353876909,2.7009204,16.23854626,30.98346844,2.1376313,35.10419501,27.23357,1,"ADAM17.AKT_1"
"HCC1143","ADAM17","AKT_1",1,75,0.385215029,10,85.49895582,1,0,100,47.71623,1,"ADAM17.AKT_1"
"HCC1187","ADAM17","AKT_1",1,75,0.120754011,1.6149051,48.85671719,1,0,100,17.12041,1,"ADAM17.AKT_1"
"HCC1395","ADAM17","AKT_1",1,75,0.868013537,0.5446128,0,17.64374096,0.1,77.51473434,8.571817,1,"ADAM17.AKT_1"
"HCC1428","ADAM17","AKT_1",1,75,1,0.2297552,94.45662759,1,0,100,-6.084818,1,"ADAM17.AKT_1"
"HCC1806","ADAM17","AKT_1",1,75,0.213277881,1.466254,20.01710735,0.881583195,10,91.54994613,32.88581,1,"ADAM17.AKT_1"
"HCC1937","ADAM17","AKT_1",1,75,0.185480762,1.2715138,74.88427965,1,0,100,36.39382,1,"ADAM17.AKT_1"
"HCC38","ADAM17","AKT_1",1,75,0.224591956,10,85.36842531,20.36616905,10,94.69792181,9.257736,1,"ADAM17.AKT_1"
"HCC70","ADAM17","AKT_1",1,75,0.169555468,1.7572974,29.45602723,1,0,100,19.48782,1,"ADAM17.AKT_1"
"Hs-578-T","ADAM17","AKT_1",1,75,0.033958269,0.6386474,36.30073079,3.128527536,0.1,44.02134076,-33.87653,1,"ADAM17.AKT_1"
"MDA-MB-157","ADAM17","AKT_1",1,75,1,0.1831482,8.03192293,0.0075,0.1,48.76352372,58.21142,1,"ADAM17.AKT_1"
"MDA-MB-231","ADAM17","AKT_1",1,75,0.689431476,0.8966987,63.37644488,75,1.1440969,80.23004256,28.49914,1,"ADAM17.AKT_1"
